timestamp,user_id,endpoint,use_case,type,ip,jwt_payload,label
2025-06-22T17:57:44.188Z,user001,/login,Login,AUTH,159.30.90.65,eyJ1c2VyX2lkIjoidXNlcjAwMSIsImlhdCI6MTc1MDYxNTA2NDE4NH0,normal
2025-06-22T17:57:44.204Z,user001,/edit,EditContent,UPDATE,159.30.90.65,eyJ1c2VyX2lkIjoidXNlcjAwMSIsImlhdCI6MTc1MDYxNTA2NDE4NCwiZXhwIjoxNzUwNjE1MDY3Nzg0fQ,normal
2025-06-22T17:57:44.209Z,user001,/logout,Logout,AUTH,159.30.90.65,eyJ1c2VyX2lkIjoidXNlcjAwMSIsImlhdCI6MTc1MDYxNTA2NDE4NCwiZXhwIjoxNzUwNjE1MDY3Nzg0fQ,normal
2025-06-22T17:57:44.315Z,user002,/login,Login,AUTH,229.56.226.182,eyJ1c2VyX2lkIjoidXNlcjAwMiIsImlhdCI6MTc1MDYxNTA2NDMxNH0,normal
2025-06-22T17:57:44.322Z,user002,/browse,ViewPage,READ,229.56.226.182,eyJ1c2VyX2lkIjoidXNlcjAwMiIsImlhdCI6MTc1MDYxNTA2NDMxNCwiZXhwIjoxNzUwNjE1MDY3OTE0fQ,normal
2025-06-22T17:57:44.326Z,user002,/browse,ViewPage,READ,229.56.226.182,eyJ1c2VyX2lkIjoidXNlcjAwMiIsImlhdCI6MTc1MDYxNTA2NDMxNCwiZXhwIjoxNzUwNjE1MDY3OTE0fQ,normal
2025-06-22T17:57:44.330Z,user002,/browse,ViewPage,READ,229.56.226.182,eyJ1c2VyX2lkIjoidXNlcjAwMiIsImlhdCI6MTc1MDYxNTA2NDMxNCwiZXhwIjoxNzUwNjE1MDY3OTE0fQ,normal
2025-06-22T17:57:44.439Z,user003,/login,Login,AUTH,91.130.112.213,eyJ1c2VyX2lkIjoidXNlcjAwMyIsImlhdCI6MTc1MDYxNTA2NDQzOH0,normal
2025-06-22T17:57:44.444Z,user003,/browse,ViewPage,READ,91.130.112.213,eyJ1c2VyX2lkIjoidXNlcjAwMyIsImlhdCI6MTc1MDYxNTA2NDQzOCwiZXhwIjoxNzUwNjE1MDY4MDM4fQ,normal
2025-06-22T17:57:44.562Z,user004,/login,Login,AUTH,31.155.69.68,eyJ1c2VyX2lkIjoidXNlcjAwNCIsImlhdCI6MTc1MDYxNTA2NDU2MX0,normal
